#ID           z     M500[10^14 Ms] +- M*[10^12 Ms] ±  f_* +-
MOOJ0105+1323 1.143 3.92 +0.46 -0.44 10.6 0.58 2.70 +0.35 -0.34
MOOJ0319−0025 1.194 3.03 +0.54 -0.46 6.32 0.49 2.09 +0.40 -0.36
MOOJ0917−0700 1.10  1.66 +0.31 -0.38 4.08 0.36 2.48 +0.51 -0.61
MOOJ1111+1503 1.32  2.02 +0.30 -0.30 4.95 0.40 2.45 +0.42 -0.42
MOOJ1139−1706 1.31  2.24 +0.36 -0.52 8.40 0.66 3.80 +0.68 -0.93
MOOJ1142+1527 1.189 5.36 +0.55 -0.50 9.91 0.59 1.85 +0.22 -0.20
MOOJ1155+3901 1.009 2.53 +0.50 -0.51 3.21 0.29 1.27 +0.28 -0.28
MOOJ1329+5647 1.43  3.56 +0.35 -0.33 7.89 0.64 2.25 +0.28 -0.27
MOOJ1506+5136 1.09  3.17 +0.38 -0.37 3.59 0.27 1.16 +0.16 -0.16
MOOJ1514+1346 1.059 2.39 +0.51 -0.83 7.34 0.49 3.97 +1.42 -1.67
MOOJ1521+0452 1.312 3.59 +1.02 -0.92 7.15 0.60 1.99 +0.59 -0.54
MOOJ2206+0906 0.951 2.95 +0.82 -0.68 6.52 0.40 2.52 +0.90 -0.72
