# ReginIDs HIDs  HosthaloID Mvir[3] Xc Yc Zc[4-6]  Rvir[7] fMhires[8] cNFW[9] Mgas200[10] M*200[11] M500[12] R500[13] fgas500[14] f*500[15]
1.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 2.643480000000000000e+15 5.004823341646799818e+05 5.004284370195799856e+05 5.004754103404399939e+05 2.248550000000000182e+03 9.983220000000000427e-01 3.497189999999999799e+00 3.561910000000000000e+14 2.732770000000000000e+13 1.757948750000000000e+15 1.445389777942390083e+03 1.351765394210815430e-01 1.095607038587331772e-02
2.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 2.308890000000000000e+15 5.005276689045199892e+05 5.002133140079699806e+05 5.003892350720399991e+05 2.149380000000000109e+03 9.981039999999999912e-01 4.358249999999999957e+00 3.299830000000000000e+14 2.339870000000000000e+13 1.646973593750000000e+15 1.414062315240243834e+03 1.368406265974044800e-01 1.078817900270223618e-02
3.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 1.867530000000000000e+15 5.002745418525700225e+05 5.003753400249200058e+05 5.005393501380099915e+05 2.002630000000000109e+03 9.983039999999999692e-01 -1.000000000000000000e+00 2.520960000000000000e+14 2.015010000000000000e+13 9.816667187500000000e+14 1.186920167754064323e+03 1.343535780906677246e-01 1.070102583616971970e-02
4.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 1.924890000000000000e+15 5.013360333578499849e+05 5.011583325530000147e+05 5.010864269359799800e+05 2.022930000000000064e+03 9.910480000000000400e-01 2.962940000000000129e+00 2.534080000000000000e+14 2.042690000000000000e+13 1.127757890625000000e+15 1.242851558437118683e+03 1.289404332637786865e-01 1.126357447355985641e-02
5.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 2.102570000000000000e+15 4.999543889494999894e+05 4.998927944455299876e+05 5.005398371002899949e+05 2.083349999999999909e+03 9.986699999999999466e-01 6.892190000000000261e+00 2.779550000000000000e+14 2.329200000000000000e+13 1.709952500000000000e+15 1.431807087259709306e+03 1.278029978275299072e-01 1.202538330107927322e-02
6.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 2.054790000000000000e+15 5.004994758913100231e+05 5.004640360605900059e+05 5.002681081173800048e+05 2.067440000000000055e+03 9.986140000000000017e-01 6.434059999999999668e+00 2.703010000000000000e+14 2.195700000000000000e+13 1.657981093750000000e+15 1.416552707561961370e+03 1.248765066266059875e-01 1.170057896524667740e-02
7.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 1.713730000000000000e+15 5.005333704227400012e+05 5.004615247044800199e+05 5.005551181298400043e+05 1.946069999999999936e+03 9.978069999999999995e-01 5.451369999999999827e+00 2.450330000000000000e+14 1.798310000000000000e+13 1.269548984375000000e+15 1.292636646546111479e+03 1.272530704736709595e-01 1.165922451764345169e-02
8.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 1.552040000000000000e+15 5.003336980607800069e+05 5.005161945025100140e+05 5.007580264409399824e+05 1.882839999999999918e+03 9.985380000000000367e-01 -1.000000000000000000e+00 2.039830000000000000e+14 1.728210000000000000e+13 7.500517187500000000e+14 1.085645690632993592e+03 1.093663126230239868e-01 1.199801452457904816e-02
9.000000000000000000e+00 1.280000000000010000e+14 0.000000000000000000e+00 1.790540000000000000e+15 5.005609765648799948e+05 5.005088329315200099e+05 5.005502194166199770e+05 1.974720000000000027e+03 9.981430000000000025e-01 5.017889999999999873e+01 2.586720000000000000e+14 1.958720000000000000e+13 1.217334296875000000e+15 1.274751240743119979e+03 1.316506415605545044e-01 1.197394728660583496e-02
1.000000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.514540000000000000e+15 5.007612782991399872e+05 5.001068236869199900e+05 5.004030160030699917e+05 1.867549999999999955e+03 9.982630000000000114e-01 2.977120000000000211e+00 1.996730000000000000e+14 1.586230000000000000e+13 9.823877343750000000e+14 1.187198613934682726e+03 1.218857541680335999e-01 1.192797999829053879e-02
