# Omega_m=0.28 Omega_lambda=0.72 H_0=70 
# ------------------------------------------------------------
# Mtrue      : true mass within r_{500}^{true}
# Ms         : stellar mass within r_{500}^{true}
# Mg         : gas mass within r_{500}^{true}
# Mbcg       : bcg stellar mass
# ------------------------------------------------------------
# MsE(z)     : bestfit of MsE(z) relation [h_{70}^{-1}Msun]
# MsE(z)_p   : upper limit of MsE(z) relation [h_{70}^{-1}Msun]
# MsE(z)_m   : lower limit of MsE(z) relation [h_{70}^{-1}Msun]
# MgE(z)     : bestfit of MgE(z) relation [h_{70}^{-1}Msun]
# MgE(z)_p   : upper limit of MgE(z) relation [h_{70}^{-1}Msun]
# MgE(z)_m   : lower limit of MgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)   : bestfit of MbcgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)_p : upper limit of MbcgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)_m : lower limit of MbcgE(z) relation [h_{70}^{-1}Msun]
# ------------------------------------------------------------
# MtrueE(z) MsE(z) MsE(z)_p MsE(z)_m MgE(z) MgE(z)_p MgE(z)_m MbcgE(z) MbcgE(z)_p MbcgE(z)_m
1.010017e+12 4.645029e+10 6.919126e+10 2.748391e+10 2.113356e+10 3.187056e+10 1.039657e+10 4.233681e+10 6.419760e+10 2.577669e+10
1.022434e+12 4.692873e+10 6.982483e+10 2.781248e+10 2.146554e+10 3.234176e+10 1.058932e+10 4.259042e+10 6.450320e+10 2.597404e+10
1.035003e+12 4.741210e+10 7.046426e+10 2.814487e+10 2.180273e+10 3.281994e+10 1.078553e+10 4.284556e+10 6.481033e+10 2.617280e+10
1.047726e+12 4.790043e+10 7.110959e+10 2.848115e+10 2.214522e+10 3.330519e+10 1.098525e+10 4.310222e+10 6.511899e+10 2.637299e+10
1.060606e+12 4.839380e+10 7.176088e+10 2.882135e+10 2.249308e+10 3.379762e+10 1.118854e+10 4.336042e+10 6.542917e+10 2.657459e+10
1.073644e+12 4.889223e+10 7.241819e+10 2.916551e+10 2.284639e+10 3.429733e+10 1.139546e+10 4.362017e+10 6.574090e+10 2.677764e+10
1.086843e+12 4.939580e+10 7.308158e+10 2.951369e+10 2.320526e+10 3.480443e+10 1.160608e+10 4.388147e+10 6.605418e+10 2.698213e+10
1.100204e+12 4.990455e+10 7.375109e+10 2.986593e+10 2.356975e+10 3.531904e+10 1.182046e+10 4.414434e+10 6.636902e+10 2.718809e+10
1.113729e+12 5.041853e+10 7.442679e+10 3.022227e+10 2.393997e+10 3.584126e+10 1.203868e+10 4.440879e+10 6.668543e+10 2.739551e+10
1.127420e+12 5.093780e+10 7.510873e+10 3.058277e+10 2.431599e+10 3.637120e+10 1.226078e+10 4.467481e+10 6.700341e+10 2.760441e+10
1.141280e+12 5.146241e+10 7.579698e+10 3.094747e+10 2.469792e+10 3.690898e+10 1.248686e+10 4.494243e+10 6.732297e+10 2.781479e+10
1.155310e+12 5.199242e+10 7.649159e+10 3.131641e+10 2.508583e+10 3.745471e+10 1.271696e+10 4.521166e+10 6.764412e+10 2.802668e+10
1.169512e+12 5.252788e+10 7.719262e+10 3.168966e+10 2.547984e+10 3.800852e+10 1.295117e+10 4.548250e+10 6.796687e+10 2.824008e+10
1.183889e+12 5.306885e+10 7.790013e+10 3.206725e+10 2.588003e+10 3.857051e+10 1.318955e+10 4.575496e+10 6.829122e+10 2.845500e+10
1.198443e+12 5.361538e+10 7.861418e+10 3.244925e+10 2.628650e+10 3.914082e+10 1.343218e+10 4.602905e+10 6.861719e+10 2.867145e+10
